time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-06-20T15:14:04.910Z,33.4275,-82.0168333,12.93,3.2,mlg,25,46,0.347,0.19,se,se60172262,2017-06-22T18:10:39.114Z,"6km SW of Augusta, Georgia",earthquake,0.35,0.81,,94,reviewed,se,se
2017-06-20T14:47:46.950Z,2.3178,128.5733,35,5,mb,,67,1.952,0.72,us,us20009nr6,2017-06-20T16:29:05.040Z,"90km NE of Tobelo, Indonesia",earthquake,5,1.9,0.058,95,reviewed,us,us
2017-06-20T14:27:41.520Z,32.8813,132.028,45.31,5,mww,,101,0.997,0.74,us,us20009npy,2017-06-20T23:46:31.655Z,"14km ESE of Saiki, Japan",earthquake,4.8,5.8,0.086,13,reviewed,us,us
2017-06-20T14:02:28.180Z,21.1177,122.372,198,4.4,mb,,119,2.073,0.77,us,us20009npx,2017-06-21T07:43:42.256Z,"66km NE of Itbayat, Philippines",earthquake,10.3,7.1,0.068,62,reviewed,us,us
2017-06-20T13:40:02.570Z,-6.2287,149.7781,57.23,4.7,mb,,95,4.084,0.8,us,us20009npu,2017-06-20T16:01:00.040Z,"25km E of Kandrian, Papua New Guinea",earthquake,10.6,7.5,0.093,35,reviewed,us,us
2017-06-20T13:10:35.640Z,41.1632,20.8854,10,4.3,mb,,43,0.536,0.49,us,us20009npq,2017-06-21T08:06:12.912Z,"4km ESE of Kosel, Macedonia",earthquake,2.6,2,0.238,5,reviewed,us,us
2017-06-20T13:02:29.310Z,-56.0508,-27.439,84.29,5.2,mb,,59,5.481,0.54,us,us20009npr,2017-06-20T16:53:06.040Z,"73km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,10,4.8,0.067,73,reviewed,us,us
2017-06-20T12:54:36.480Z,-56.2634,-27.0808,60.56,5.3,mb,,43,5.731,0.8,us,us20009npn,2017-06-20T13:15:45.040Z,"49km N of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,10,5.3,0.056,109,reviewed,us,us
2017-06-20T12:40:14.080Z,-6.6569,154.7854,55.53,4.7,mb,,49,5.81,0.76,us,us20009npl,2017-06-20T13:46:33.040Z,"86km WSW of Panguna, Papua New Guinea",earthquake,8.5,7.3,0.055,101,reviewed,us,us
2017-06-20T12:38:04.638Z,63.2366,-151.5159,9.7,3.3,ml,,,,0.84,ak,ak16209701,2017-06-20T12:49:56.048Z,"124km NW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-06-20T12:03:00.330Z,-8.0269,122.7572,225.11,4.4,mb,,46,0.793,0.71,us,us20009npe,2017-06-20T12:58:03.040Z,"49km N of Palue, Indonesia",earthquake,5.9,6.4,0.112,23,reviewed,us,us
2017-06-20T11:53:22.407Z,51.6703,-178.5054,3.9,4.2,ml,,,,0.59,ak,ak16209683,2017-06-20T16:49:50.719Z,"34km SW of Tanaga Volcano, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2017-06-20T11:41:24.380Z,-6.0636,130.5303,142.97,5,mb,,52,2.053,0.98,us,us20009npc,2017-06-20T12:02:02.040Z,"225km NNW of Saumlaki, Indonesia",earthquake,7.4,5.2,0.072,61,reviewed,us,us
2017-06-20T10:32:42.450Z,51.2653,-178.5358,10,4.3,mb,,187,1.044,0.78,us,us20009np8,2017-06-20T16:59:27.514Z,"39km E of Amatignak Island, Alaska",earthquake,6.2,1.4,0.047,131,reviewed,us,us
2017-06-20T09:01:48.460Z,-24.4863,-179.3693,535.2,4.7,mb,,105,4.911,0.54,us,us20009np1,2017-06-20T09:18:10.040Z,"South of the Fiji Islands",earthquake,15.2,10.9,0.147,14,reviewed,us,us
2017-06-20T07:26:19.000Z,51.3709,159.0267,35,4.2,mb,,178,1.671,0.99,us,us20009np0,2017-06-20T07:42:08.040Z,"175km E of Ozernovskiy, Russia",earthquake,6.6,2,0.121,19,reviewed,us,us
2017-06-20T07:17:00.220Z,12.0128,-88.6709,10,4.4,mb,,195,1.723,1.27,us,us20009nny,2017-06-20T07:33:39.040Z,"141km S of Puerto El Triunfo, El Salvador",earthquake,7.9,2,0.069,60,reviewed,us,us
2017-06-20T06:23:17.470Z,36.2763,-97.5291,1.1,2.9,mb_lg,,24,0.196,0.27,us,us20009nnw,2017-06-21T05:19:13.836Z,"21km W of Perry, Oklahoma",earthquake,1.4,7.9,0.056,83,reviewed,us,us
2017-06-20T06:10:10.737Z,62.2749,-150.8848,68.4,2.7,ml,,,,0.5,ak,ak16209623,2017-06-20T06:21:47.930Z,"40km W of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-06-20T03:13:31.640Z,37.5244,-97.1351,5,2.6,mb_lg,,70,0.445,0.26,us,us20009nnp,2017-06-22T16:05:36.835Z,"3km S of Rose Hill, Kansas",earthquake,1.5,1.9,0.068,57,reviewed,us,us
2017-06-20T02:14:04.611Z,62.228,-151.0813,55.3,3.2,ml,,,,0.57,ak,ak16209586,2017-06-20T02:26:44.128Z,"51km WSW of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-06-20T02:06:48.410Z,37.2525,-83.3596667,4.55,2.57,md,34,88,0.122,0.19,se,se60172242,2017-06-20T15:26:35.475Z,"10km N of Hyden, Kentucky",earthquake,0.21,0.6,0.065,17,reviewed,se,se
