cds	rtype	sname	dname	cname	enroll12	NumTstTakr	AvgScrRead	AvgScrMath	AvgScrWrite	NumGE1500	PctGE1500
15634120100529	S	Cesar E. Chavez High	Delano Joint Union High	Kern	372	127	438	465	450	32	25.20
15634120116384	S	Robert F. Kennedy High	Delano Joint Union High	Kern	218	87	421	443	429	14	16.09
15634121531672	S	Delano High	Delano Joint Union High	Kern	336	116	444	459	428	23	19.83
15635290000000	D		Kern High	Kern	9290	3117	464	474	454	998	32.02
15635290100198	S	Golden Valley High	Kern High	Kern	581	180	449	448	447	44	24.44
15635290110999	S	Frontier High	Kern High	Kern	572	229	493	504	480	99	43.23
15635290116392	S	Independence High	Kern High	Kern	436	218	469	469	461	72	33.03
15635290116400	S	Mira Monte High	Kern High	Kern	469	151	410	411	414	16	10.60
15635291530112	S	Vista West Continuation High	Kern High	Kern	198	1	*	*	*	*	*
15635291530252	S	Arvin High	Kern High	Kern	503	167	416	429	412	24	14.37
15635291530344	S	Stockdale High	Kern High	Kern	513	318	524	547	515	178	55.97
15635291530369	S	Centennial High	Kern High	Kern	420	199	502	521	489	104	52.26
15635291530385	S	Ridgeview High	Kern High	Kern	513	213	449	470	437	61	28.64
15635291530435	S	Kern Workforce 2000 Academy	Kern High	Kern	182	0	NA	NA	NA	NA	NA
15635291530476	S	Liberty High	Kern High	Kern	444	229	510	524	491	113	49.34
15635291530708	S	Bakersfield High	Kern High	Kern	650	168	477	490	457	65	38.69
15635291532290	S	East Bakersfield High	Kern High	Kern	531	178	422	432	427	33	18.54
15635291532605	S	Foothill High	Kern High	Kern	450	142	430	455	421	22	15.49
15635291533330	S	Highland High	Kern High	Kern	465	199	465	458	451	60	30.15
15635291533538	S	Kern Valley High	Kern High	Kern	120	23	464	466	448	7	30.43
15635291534775	S	North High	Kern High	Kern	417	143	456	435	439	36	25.17
15635291535087	S	Shafter High	Kern High	Kern	326	75	435	465	445	19	25.33
15635291535392	S	South High	Kern High	Kern	452	148	420	429	401	18	12.16
15635291536606	S	West High	Kern High	Kern	508	136	440	445	432	27	19.85
15636280000000	D		Maricopa Unified	Kern	121	2	*	*	*	*	*
15636280127209	S	California Virtual Academy High @ Marico	Maricopa Unified	Kern	107	0	NA	NA	NA	NA	NA
15636281533843	S	Maricopa High	Maricopa Unified	Kern	14	2	*	*	*	*	*
15636770000000	D		Mojave Unified	Kern	146	44	434	431	435	6	13.64
15636770114512	S	California City High	Mojave Unified	Kern	104	33	428	436	440	4	12.12
15636771534460	S	Mojave Jr./Sr. High	Mojave Unified	Kern	42	11	452	416	420	2	18.18
15636850000000	D		Muroc Joint Unified	Kern	134	63	502	508	492	31	49.21
15636851530997	S	Boron Junior-Senior High	Muroc Joint Unified	Kern	36	7	*	*	*	*	*
15636851531987	S	Desert Junior-Senior High	Muroc Joint Unified	Kern	98	56	500	509	494	28	50.00
15637680000000	D		Semitropic Elementary	Kern	122	0	NA	NA	NA	NA	NA
15637680124842	S	California Pacific Charter School of Ker	Semitropic Elementary	Kern	122	0	NA	NA	NA	NA	NA
15637760000000	D		Southern Kern Unified	Kern	208	49	473	477	451	15	30.61
15637761530377	S	Abraham Lincoln Alternative	Southern Kern Unified	Kern	16	0	NA	NA	NA	NA	NA
15637761534957	S	Rosamond High	Southern Kern Unified	Kern	184	49	473	477	451	15	30.61
15638180000000	D		Taft Union High	Kern	249	51	473	481	476	21	41.18
15638181535905	S	Taft Union High	Taft Union High	Kern	224	51	473	481	476	21	41.18
15638260000000	D		Tehachapi Unified	Kern	376	117	529	519	501	71	60.68
15638261536135	S	Tehachapi High	Tehachapi Unified	Kern	299	117	529	519	501	71	60.68
15638590000000	D		Wasco Union High	Kern	378	80	450	465	442	19	23.75
15638591536440	S	Wasco High	Wasco Union High	Kern	301	80	450	465	442	19	23.75
15737420000000	D		Sierra Sands Unified	Kern	380	83	529	545	510	50	60.24
15737421531367	S	Burroughs High	Sierra Sands Unified	Kern	317	83	529	545	510	50	60.24
15739080000000	D		McFarland Unified	Kern	185	100	404	409	406	11	11.00
15739081530229	S	McFarland Independent	McFarland Unified	Kern	11	0	NA	NA	NA	NA	NA
15739081534155	S	McFarland High	McFarland Unified	Kern	172	100	404	409	406	11	11.00
15751680000000	D		El Tejon Unified	Kern	81	26	480	473	476	9	34.62
15751681530401	S	Frazier Mountain High	El Tejon Unified	Kern	81	26	480	473	476	9	34.62
16000000000000	C			Kings	2171	580	458	453	451	157	27.07
16101650000000	D		Kings County Office of Educati	Kings	108	0	NA	NA	NA	NA	NA
16638750000000	D		Armona Union Elementary	Kings	240	9	*	*	*	*	*
16638750101717	S	Crossroads Charter	Armona Union Elementary	Kings	65	2	*	*	*	*	*
16638750112698	S	California Virtual Academy @ Kings	Armona Union Elementary	Kings	58	7	*	*	*	*	*
16638750121491	S	National University Academy, Armona	Armona Union Elementary	Kings	117	0	NA	NA	NA	NA	NA
16638910000000	D		Corcoran Joint Unified	Kings	247	88	432	442	429	17	19.32
16638910120154	S	California Pacific Charter School of Cen	Corcoran Joint Unified	Kings	14	0	NA	NA	NA	NA	NA
16638911632207	S	Corcoran High	Corcoran Joint Unified	Kings	197	88	432	442	429	17	19.32
16639250000000	D		Hanford Joint Union High	Kings	921	281	462	456	453	73	25.98
